Gender,Age,Height,Weight,Calories,BMI,,,,,,
male,66.9,191,94,231,25.72,,,,,,
female,21.6,166,60,66,21.75,,,,,,
female,33.0,178,70,71,21.96,,,,,,
female,25.2,155,57,37,23.92,,,,,,
female,34.8,150,50,124,22.28,,,,,,
female,33.1,160,57,111,22.24,,,,,,
male,40.7,175,84,144,27.45,,,,,,
male,60.7,184,93,135,27.55,,,,,,
female,24.9,146,50,73,23.60,,,,,,
female,21.3,157,56,92,22.66,,,,,,
female,32.2,155,52,89,21.50,,,,,,
male,52.1,183,85,6,25.41,,,,,,
female,40.3,158,61,169,24.58,,,,,,
male,38.7,182,82,11,24.85,,,,,,
male,45.6,169,66,42,23.23,,,,,,
female,27.1,171,66,14,22.66,,,,,,
male,68.1,189,92,29,25.90,,,,,,
female,31.6,149,51,33,22.96,,,,,,
female,33.9,157,59,11,23.97,,,,,,
female,20.4,165,59,155,21.68,,,,,,
male,47.1,183,85,2,25.41,,,,,,
male,30.5,173,73,12,24.36,,,,,,
male,40.2,172,74,5,25.11,,,,,,
female,26.0,161,59,136,22.70,,,,,,
female,41.7,166,68,109,24.83,,,,,,
male,20.1,182,83,199,25.22,,,,,,
female,74.2,157,61,56,24.61,,,,,,
female,70.2,154,60,49,25.10,,,,,,
female,25.7,183,81,100,24.24,,,,,,
male,62.1,182,86,4,26.11,,,,,,
male,64.3,180,80,198,24.85,,,,,,
female,53.3,170,66,112,22.98,,,,,,
female,53.0,170,66,10,22.93,,,,,,
male,34.0,183,86,26,25.70,,,,,,
male,49.0,153,61,4,25.99,,,,,,
male,34.7,193,94,32,25.05,,,,,,
male,20.0,169,71,3,24.96,,,,,,
female,22.5,179,75,36,23.52,,,,,,
female,23.1,158,63,150,25.31,,,,,,
male,52.2,192,101,161,27.28,,,,,,
female,69.7,163,63,174,23.62,,,,,,
male,29.1,200,104,89,25.96,,,,,,
male,68.9,187,89,32,25.39,,,,,,
female,34.4,170,63,36,21.99,,,,,,
female,76.8,178,80,94,25.28,,,,,,
female,61.7,187,77,53,22.26,,,,,,
female,63.4,151,58,116,25.40,,,,,,
male,43.4,176,80,173,25.89,,,,,,
female,22.1,176,70,46,22.51,,,,,,
male,45.9,168,68,165,23.90,,,,,,
female,63.8,173,68,201,22.90,,,,,,
male,30.3,181,83,107,25.43,,,,,,
male,54.0,192,92,25,24.99,,,,,,
female,23.7,179,66,21,20.53,,,,,,
female,27.2,168,63,7,22.28,,,,,,
male,58.3,177,84,6,27.09,,,,,,
female,48.3,168,69,112,24.48,,,,,,
female,38.2,169,64,188,22.62,,,,,,
male,47.5,165,71,104,26.12,,,,,,
male,60.4,196,102,130,26.54,,,,,,
female,30.9,144,49,26,23.95,,,,,,
female,40.7,164,62,183,23.26,,,,,,
female,56.4,155,59,57,24.63,,,,,,
male,44.0,190,89,66,24.69,,,,,,
female,46.9,165,65,120,24.07,,,,,,
male,25.1,200,100,41,25.06,,,,,,
male,67.1,170,80,133,27.59,,,,,,
female,25.4,169,62,79,21.79,,,,,,
male,57.9,184,90,42,26.66,,,,,,
female,26.4,160,59,58,22.89,,,,,,
male,39.4,200,97,178,24.24,,,,,,
female,57.4,171,74,6,25.23,,,,,,
female,23.6,156,63,11,25.59,,,,,,
male,22.2,187,86,146,24.66,,,,,,
male,73.9,200,108,100,26.95,,,,,,
female,46.1,158,52,149,20.67,,,,,,
female,30.7,165,59,179,21.76,,,,,,
male,23.2,196,94,23,24.68,,,,,,
male,56.1,169,82,248,28.98,,,,,,
female,26.5,159,52,91,20.75,,,,,,
male,35.5,181,82,140,25.11,,,,,,
female,50.8,171,68,71,23.25,,,,,,
male,20.9,188,91,185,25.82,,,,,,
female,20.4,134,46,54,25.56,,,,,,
female,79.8,152,60,207,25.71,,,,,,
male,51.3,173,74,6,24.52,,,,,,
female,29.0,180,76,61,23.44,,,,,,
male,20.4,194,94,21,24.93,,,,,,
female,28.9,159,60,186,23.58,,,,,,
male,37.5,187,94,177,26.67,,,,,,
male,24.6,168,73,124,25.85,,,,,,
female,68.7,159,68,165,26.82,,,,,,
male,78.8,177,85,156,27.42,,,,,,
male,67.5,201,97,143,23.98,,,,,,
female,22.2,156,51,42,20.95,,,,,,
female,43.3,142,49,88,24.00,,,,,,
